impression_id,campaign_id,game_id,cost_usd,event_timestamp,received_timestamp,platform
cc7bbc72823fdf67,camp_007,game_004,0.1574,2025-01-10T14:31:55Z,2025-01-10T14:53:31Z,android
9100a6d23876a065,camp_004,game_002,0.0437,2025-01-30T21:56:11Z,2025-01-30T22:06:58Z,ios
92f38bef9b3e8274,camp_002,game_001,0.0338,2025-01-19T18:25:25Z,2025-01-19T18:49:27Z,android
85f4e48fffb0a55d,camp_002,game_001,0.0469,2025-01-15T11:19:39Z,2025-01-15T11:38:26Z,android
ced7627ec8b530dd,camp_006,game_003,0.0541,2025-01-28T12:14:35Z,2025-01-28T12:20:12Z,android
7d476dc2513e9970,camp_006,game_003,0.0576,2025-01-05T23:39:36Z,2025-01-05T23:42:39Z,ios
d6011a20389974c5,camp_009,game_005,0.0,2025-01-29T05:00:43Z,2025-01-29T05:16:35Z,ios
1cd9043100b6121a,camp_004,game_002,0.0526,2025-01-23T07:35:36Z,2025-01-23T07:39:16Z,android
2a5bcf96019c1a96,camp_007,game_004,0.1849,2025-01-15T20:02:34Z,2025-01-15T20:14:37Z,ios
bb6ee3ebd96db8fd,camp_002,game_001,0.0371,2025-01-30T12:37:57Z,2025-01-30T12:54:16Z,ios
d0e318be7d22c437,camp_009,game_005,0.0,2025-01-12T19:39:56Z,2025-01-12T19:58:56Z,ios
8497d3cd0ea7ba1e,camp_004,game_002,0.0415,2025-01-06T16:03:33Z,2025-01-06T16:07:16Z,ios
1c3eacc5d3d13b94,camp_009,game_005,0.0,2025-01-03T18:13:10Z,2025-01-03T18:28:00Z,android
11814c724eab1396,camp_001,game_001,0.0515,2025-01-06T02:49:46Z,2025-01-06T02:52:30Z,android
63c7ffb65feb4112,camp_006,game_003,0.0478,2025-01-30T21:21:21Z,2025-01-30T21:29:17Z,android
4e405398531d8ca8,camp_005,game_003,0.079,2025-01-14T19:55:10Z,2025-01-14T20:11:11Z,ios
