click_id,impression_id,campaign_id,event_timestamp,received_timestamp,device_id
1698887e8a7865e4,676384fa38cca4c4,camp_002,2025-01-27T14:06:04Z,2025-01-27T14:12:16Z,f0c18dcdfba67d8d
ab8d49b8a4045094,eaf28c594a9affde,camp_001,2025-01-06T16:35:08Z,2025-01-06T16:47:46Z,d8ebf459db07167e
a0bab11aefc730a5,9b254cb86f58bb61,camp_007,2025-01-09T08:00:53Z,2025-01-09T08:22:47Z,3d76264ec5a7eb8d
d81e2645eb90e39d,0e825abea6082cca,camp_005,2025-01-21T14:22:14Z,2025-01-21T14:39:48Z,2bd83c7099ac9364
42dfb7aaa840af91,99739ccb797679da,camp_008,2025-01-16T15:54:21Z,2025-01-16T16:09:13Z,658ed21ac095b7e5
7e16487a6b94fba8,c4a2bc313975a7e2,camp_006,2025-01-28T16:30:03Z,2025-01-28T16:49:52Z,3d91e20ad5270d5f
e832a6929e0d6698,f71a773a1b009226,camp_001,2025-01-20T06:06:00Z,2025-01-20T06:08:46Z,a301b38860ba36a4
023745de08458745,41466c83f1124182,camp_008,2025-01-27T05:37:39Z,2025-01-27T05:44:01Z,f828f99a1f055401
5ae383b789ecb35e,b810bde363ee6faf,camp_003,2025-01-03T11:08:04Z,2025-01-03T11:25:13Z,ca46515817918cba
2738c5014157c07f,fd86a7e32b48fa6f,camp_003,2025-01-03T21:55:13Z,2025-01-03T22:17:46Z,3ce6c49c22b5780d
9fd94c26a063cae7,41d02942bf6994a7,camp_004,2025-01-14T12:49:02Z,2025-01-14T13:04:20Z,445f5846657989e2
77b70983da9361ee,1048536d6a51f16e,camp_007,2025-01-02T21:59:15Z,2025-01-02T22:24:35Z,e3a155b3c55fd140
c3e5161937687383,e740d5d4e65add06,camp_008,2025-01-21T17:42:36Z,2025-01-21T17:49:56Z,015c3110a7d6ca9c
e03f464353304f65,32b9f0ee9ae157b9,camp_003,2025-01-20T06:54:02Z,2025-01-20T07:15:10Z,acdcf0c46353b2d3
0b2f06b7172fc6b4,3b1ad330aa899bdc,camp_005,2025-01-05T10:26:32Z,2025-01-05T10:49:29Z,1d8b8e72bff9f73e
40116ad4ac549b98,2cb88482f8542343,camp_002,2025-01-15T07:28:18Z,2025-01-15T07:33:36Z,a3789a05b34495e2
450dc9dccc407a6e,3ebc2158c0a182f1,camp_007,2025-01-06T04:23:31Z,2025-01-06T04:45:22Z,942126d81b0b9544
849ec598ebf36801,fb0f81e5dff2baa9,camp_008,2025-01-26T03:42:19Z,2025-01-26T03:49:23Z,0f7585028107c467
f00add1a414e5f2f,aadad8eea0d61757,camp_006,2025-01-21T21:16:49Z,2025-01-21T21:31:58Z,8d49f5b27de7c178
9c4d90f7d06e341c,13a556da7ff99213,camp_006,2025-01-19T02:53:57Z,2025-01-19T03:08:19Z,2f12761240572070
62e6c5abdeca8a44,40e738de00509db5,camp_004,2025-01-06T14:09:36Z,2025-01-06T14:32:08Z,be2320daf272a51d
6914757301f1f3ea,b0f01efdf900c7ca,camp_007,2025-01-12T07:29:55Z,2025-01-12T07:36:39Z,d5fc21824e9f9c35
ad53465f94a22955,6e2183d58b8ee936,camp_004,2025-01-16T14:18:41Z,2025-01-16T14:45:36Z,85fb41a377063cdc
fba4d136d66f514a,9878842a3cf8baca,camp_008,2025-01-24T04:45:17Z,2025-01-24T05:03:56Z,cf7850a07c915992
ac190a714d53565a,ebd44271385d8059,camp_004,2025-01-26T11:08:40Z,2025-01-26T11:11:36Z,bd13e8ed69c9352a
90c68173501ddfb3,f802b41008faf860,camp_006,2025-01-09T06:28:04Z,2025-01-09T06:34:01Z,4debd82263fc2f67
e56597e671dbf734,c6d3c1f85f1732d3,camp_001,2025-01-23T09:35:46Z,2025-01-23T09:59:35Z,6edc6a8676e06b33
cacda21ad421ba63,5c9eb8cb34699734,camp_006,2025-01-19T10:02:35Z,2025-01-19T10:07:08Z,f1e81eb3d12bfd42
a4c1ae0879cc4174,21aca6e0cbd59cbd,camp_009,2025-01-19T13:04:35Z,2025-01-19T13:31:54Z,0fc13d8f00d8f118
0723da9c8b0ba046,34e9174146483776,camp_008,2025-01-14T12:12:00Z,2025-01-14T12:15:12Z,5eeb91be6eba4a17
a037e09def5bd38e,69a75dd6d82e550e,camp_002,2025-01-28T10:24:45Z,2025-01-28T10:43:58Z,6df3dc1cf9e0639b
719c1f0d7143e631,6bcc19b0668391e1,camp_008,2025-01-13T09:08:15Z,2025-01-13T09:28:48Z,404986cf6eb40b4e
382d5b83220c4fc7,6659ca00a4cf9041,camp_007,2025-01-29T21:27:21Z,2025-01-29T21:28:31Z,4b8582f64720f15b
1ff685abac4ff2ec,6f162d46919fc358,camp_009,2025-01-16T15:06:23Z,2025-01-16T15:08:13Z,3d00aa565f1b3c14
2ce051a97a290766,3258f0bc4af51573,camp_001,2025-01-25T21:13:38Z,2025-01-25T21:18:22Z,61a0834dacfec611
